methodKey,methodName,N,h,maxError,rmsError,pairwiseOrder,fittedOrder,theoryOrder,functionEvaluations,timeMedianSeconds,timeMeanSeconds,timeStdSeconds,timeMinSeconds,timeMaxSeconds,timeCoefficientVariation
Euler,显式 Euler,6,0.5,0.355539226528545,0.199721494521322,NaN,1.0180573190588,1,6,4.31538849765258e-06,4.40371471966535e-06,1.91888469605282e-07,4.30288173652695e-06,4.8224725433526e-06,0.0435742280825729
Euler,显式 Euler,12,0.25,0.169638046618839,0.0896079117560695,1.06754896518875,1.0180573190588,1,12,4.47395e-06,4.47284275261324e-06,2.11454968266131e-08,4.43834024390244e-06,4.49843e-06,0.00472752967098137
Euler,显式 Euler,24,0.125,0.0830562286129686,0.0425889054233523,1.03029950652655,1.0180573190588,1,24,4.81441839378238e-06,4.81992529968455e-06,7.62167309256487e-08,4.73099870466321e-06,4.97318956043956e-06,0.0158128448444288
Euler,显式 Euler,48,0.0625,0.0411149160406943,0.0207738669770658,1.0144264810664,1.0180573190588,1,48,5.41206791907514e-06,5.42199659123003e-06,4.76172415366324e-08,5.37260882352941e-06,5.49437352941177e-06,0.0087822337648925
Euler,显式 Euler,96,0.03125,0.0204572811090618,0.0102603477239917,1.00704746749997,1.0180573190588,1,96,6.62619055944056e-06,6.63593084265995e-06,7.1538175845728e-08,6.54367307692308e-06,6.75259397163121e-06,0.0107804281783402
Euler,显式 Euler,192,0.015625,0.0102039689564721,0.00509893730460932,1.00348400036217,1.0180573190588,1,192,9.12271190476191e-06,8.8624257610763e-06,6.96355813771318e-07,7.28547727272727e-06,9.16556904761905e-06,0.0785739517085387
Euler,显式 Euler,384,0.0078125,0.00509586210701762,0.00254170858962071,1.00173227074612,1.0180573190588,1,384,1.41674456521739e-05,1.41726106329488e-05,1.55490362984612e-07,1.40138357142857e-05,1.44399094202899e-05,0.0109711871024753
RK2,改进 Euler（RK2）,6,0.5,0.117462253573994,0.0660603155465251,NaN,2.04695581153379,2,12,4.47077030456853e-06,4.53484565985227e-06,1.53108360961988e-07,4.43543e-06,4.86659615384615e-06,0.0337626398881624
RK2,改进 Euler（RK2）,12,0.25,0.0262210207516063,0.0147620516718532,2.16340146798036,2.04695581153379,2,24,4.76934067357513e-06,4.78925185048113e-06,6.15162570446981e-08,4.7387707253886e-06,4.91804533678756e-06,0.0128446485933953
RK2,改进 Euler（RK2）,24,0.125,0.00619855782866008,0.00348829797911408,2.0807193502064,2.04695581153379,2,48,5.3438598265896e-06,5.35385156895128e-06,4.32750935733386e-08,5.30050722543353e-06,5.42362861271676e-06,0.00808298344024046
RK2,改进 Euler（RK2）,48,0.0625,0.00150747951006736,0.00084794857071244,2.03979420076271,2.04695581153379,2,96,6.53844655172414e-06,6.55935446440547e-06,8.8327830260638e-08,6.44856818181818e-06,6.68465344827586e-06,0.0134659333841389
RK2,改进 Euler（RK2）,96,0.03125,0.000371750629982515,0.000209043384483001,2.01973130065079,2.04695581153379,2,192,8.80315366972477e-06,8.84004760691229e-06,1.05879324402638e-07,8.78205275229358e-06,9.07897222222222e-06,0.0119772346384026
RK2,改进 Euler（RK2）,192,0.015625,9.23070866996056e-05,5.18973464972706e-05,2.00982186974335,2.04695581153379,2,384,1.34958055555556e-05,1.29401518893578e-05,9.71892969241095e-07,1.14224126506024e-05,1.35846944444444e-05,0.0751067667173516
RK2,改进 Euler（RK2）,384,0.0078125,2.299853038501e-05,1.29291772839781e-05,2.00489973692506,2.04695581153379,2,768,2.285875e-05,2.28228448353972e-05,1.55286992895464e-07,2.25951136363636e-05,2.30064772727273e-05,0.00680401562624749
RK4,经典 RK4,6,0.5,0.00109938390818964,0.00059197427228761,NaN,4.03667072739102,4,24,4.86520502645503e-06,4.75947940935153e-06,7.38600313194114e-07,3.14343817204301e-06,5.28711363636364e-06,0.155185105274937
RK4,经典 RK4,12,0.25,6.34307799609601e-05,3.36849481197829e-05,4.11536837549815,4.03667072739102,4,48,5.40437352941177e-06,5.42853607998944e-06,6.11852544346174e-08,5.3860563583815e-06,5.55202058823529e-06,0.0112710413144636
RK4,经典 RK4,24,0.125,3.79223658786287e-06,2.00547300944651e-06,4.0640622038437,4.03667072739102,4,96,6.56045629370629e-06,6.58533141858142e-06,6.15395967563985e-08,6.53598076923077e-06,6.71290384615385e-06,0.00934495059470448
RK4,经典 RK4,48,0.0625,2.31568712649732e-07,1.22273691267546e-07,4.03353672462035,4.03667072739102,4,192,8.83159403669725e-06,8.85493745039614e-06,1.1789162302849e-07,8.67746559633028e-06,9.02742153284671e-06,0.0133136596039101
RK4,经典 RK4,96,0.03125,1.43021710030666e-08,7.54696001701061e-09,4.01713428019552,4.03667072739102,4,384,1.33565633333333e-05,1.31532390945674e-05,6.18654422244439e-07,1.17680277777778e-05,1.35388611111111e-05,0.0470343782087834
RK4,经典 RK4,192,0.015625,8.88538131960104e-10,4.68722539845404e-10,4.008656656399,4.03667072739102,4,768,2.24178409090909e-05,2.21362816869694e-05,1.04398948172016e-06,1.986547e-05,2.28295406976744e-05,0.0471619170953499
RK4,经典 RK4,384,0.0078125,5.53663781488467e-11,2.92022469912472e-11,4.00435163678182,4.03667072739102,4,1536,4.061619e-05,4.0504558994709e-05,6.66639333395284e-07,3.96123796296296e-05,4.11745833333333e-05,0.0164583777713113
