methodKey,methodName,N,repeatIndex,orderPosition,timeSeconds
Euler,显式 Euler,6,1,1,2.47920095846645e-06
RK2,改进 Euler（RK2）,6,1,2,2.65597964071856e-06
RK4,经典 RK4,6,1,3,2.92913881578947e-06
Euler,显式 Euler,6,2,3,2.42331955307263e-06
RK2,改进 Euler（RK2）,6,2,1,2.67276439628483e-06
RK4,经典 RK4,6,2,2,2.95236389776358e-06
Euler,显式 Euler,6,3,2,2.46438100558659e-06
RK2,改进 Euler（RK2）,6,3,3,2.65867425149701e-06
RK4,经典 RK4,6,3,1,2.93501103896104e-06
Euler,显式 Euler,6,4,1,2.50097318435754e-06
RK2,改进 Euler（RK2）,6,4,2,2.65927305389222e-06
RK4,经典 RK4,6,4,3,2.92744376996805e-06
Euler,显式 Euler,6,5,3,2.46829162011173e-06
RK2,改进 Euler（RK2）,6,5,1,2.56693188405797e-06
RK4,经典 RK4,6,5,2,2.84597412140575e-06
Euler,显式 Euler,6,6,2,2.49762122905028e-06
RK2,改进 Euler（RK2）,6,6,3,2.61417826086957e-06
RK4,经典 RK4,6,6,1,2.94690197368421e-06
Euler,显式 Euler,6,7,1,2.46549832402235e-06
RK2,改进 Euler（RK2）,6,7,2,2.61185942028985e-06
RK4,经典 RK4,6,7,3,2.94755986842105e-06
Euler,显式 Euler,12,1,1,2.58171449275362e-06
RK2,改进 Euler（RK2）,12,1,2,2.87946776315789e-06
RK4,经典 RK4,12,1,3,3.44661439393939e-06
Euler,显式 Euler,12,2,3,2.65957245508982e-06
RK2,改进 Euler（RK2）,12,2,1,2.88473092105263e-06
RK4,经典 RK4,12,2,2,3.51025075757576e-06
Euler,显式 Euler,12,3,2,2.6243231884058e-06
RK2,改进 Euler（RK2）,12,3,3,2.90808618421053e-06
RK4,经典 RK4,12,3,1,3.44472045454545e-06
Euler,显式 Euler,12,4,1,2.62229420289855e-06
RK2,改进 Euler（RK2）,12,4,2,2.91114984025559e-06
RK4,经典 RK4,12,4,3,3.44358409090909e-06
Euler,显式 Euler,12,5,3,2.62055507246377e-06
RK2,改进 Euler（RK2）,12,5,1,2.9699357827476e-06
RK4,经典 RK4,12,5,2,3.38676590909091e-06
Euler,显式 Euler,12,6,2,2.63968550724638e-06
RK2,改进 Euler（RK2）,12,6,3,2.90249188191882e-06
RK4,经典 RK4,12,6,1,3.4423442804428e-06
Euler,显式 Euler,12,7,1,2.64250658682635e-06
RK2,改进 Euler（RK2）,12,7,2,2.95249407894737e-06
RK4,经典 RK4,12,7,3,3.5557053030303e-06
Euler,显式 Euler,24,1,1,2.96737987220447e-06
RK2,改进 Euler（RK2）,24,1,2,3.42919015151515e-06
RK4,经典 RK4,24,1,3,4.41370487804878e-06
Euler,显式 Euler,24,2,3,2.94723092105263e-06
RK2,改进 Euler（RK2）,24,2,1,3.49548081180812e-06
RK4,经典 RK4,24,2,2,4.57858292682927e-06
Euler,显式 Euler,24,3,2,2.98788644067797e-06
RK2,改进 Euler（RK2）,24,3,3,3.75578638132296e-06
RK4,经典 RK4,24,3,1,4.61857411167513e-06
Euler,显式 Euler,24,4,1,3.02131048951049e-06
RK2,改进 Euler（RK2）,24,4,2,3.60407405857741e-06
RK4,经典 RK4,24,4,3,4.614515e-06
Euler,显式 Euler,24,5,3,2.95709934210526e-06
RK2,改进 Euler（RK2）,24,5,1,3.46441742424242e-06
RK4,经典 RK4,24,5,2,4.47145789473684e-06
Euler,显式 Euler,24,6,2,3.01402523961661e-06
RK2,改进 Euler（RK2）,24,6,3,3.52350833333333e-06
RK4,经典 RK4,24,6,1,4.46736341463415e-06
Euler,显式 Euler,24,7,1,2.94854671052632e-06
RK2,改进 Euler（RK2）,24,7,2,3.49700916334661e-06
RK4,经典 RK4,24,7,3,4.483015e-06
Euler,显式 Euler,48,1,1,3.50949318181818e-06
RK2,改进 Euler（RK2）,48,1,2,4.52074019138756e-06
RK4,经典 RK4,48,1,3,6.54505373134328e-06
Euler,显式 Euler,48,2,3,3.45636642066421e-06
RK2,改进 Euler（RK2）,48,2,1,4.46475933014354e-06
RK4,经典 RK4,48,2,2,6.53194137931035e-06
Euler,显式 Euler,48,3,2,3.50792645914397e-06
RK2,改进 Euler（RK2）,48,3,3,4.51858292682927e-06
RK4,经典 RK4,48,3,1,6.62770425531915e-06
Euler,显式 Euler,48,4,1,3.48449318181818e-06
RK2,改进 Euler（RK2）,48,4,2,4.55614688995215e-06
RK4,经典 RK4,48,4,3,6.5843979020979e-06
Euler,显式 Euler,48,5,3,3.53411439393939e-06
RK2,改进 Euler（RK2）,48,5,1,4.48437655502392e-06
RK4,经典 RK4,48,5,2,6.56297586206897e-06
Euler,显式 Euler,48,6,2,3.54282589641434e-06
RK2,改进 Euler（RK2）,48,6,3,4.55136220095694e-06
RK4,经典 RK4,48,6,1,6.60228620689655e-06
Euler,显式 Euler,48,7,1,3.47919015151515e-06
RK2,改进 Euler（RK2）,48,7,2,4.54370669856459e-06
RK4,经典 RK4,48,7,3,6.56529290780142e-06
Euler,显式 Euler,96,1,1,4.829515e-06
RK2,改进 Euler（RK2）,96,1,2,6.71866363636364e-06
RK4,经典 RK4,96,1,3,1.10192886363636e-05
Euler,显式 Euler,96,2,3,4.770515e-06
RK2,改进 Euler（RK2）,96,2,1,6.82216013986014e-06
RK4,经典 RK4,96,2,2,1.07978862068966e-05
Euler,显式 Euler,96,3,2,4.84833902439024e-06
RK2,改进 Euler（RK2）,96,3,3,6.68849310344828e-06
RK4,经典 RK4,96,3,1,1.08357157303371e-05
Euler,显式 Euler,96,4,1,4.64638780487805e-06
RK2,改进 Euler（RK2）,96,4,2,6.64918275862069e-06
RK4,经典 RK4,96,4,3,1.07551111111111e-05
Euler,显式 Euler,96,5,3,4.65665978835979e-06
RK2,改进 Euler（RK2）,96,5,1,6.66062167832168e-06
RK4,经典 RK4,96,5,2,1.06895555555556e-05
Euler,显式 Euler,96,6,2,4.644515e-06
RK2,改进 Euler（RK2）,96,6,3,6.74614397163121e-06
RK4,经典 RK4,96,6,1,1.07684444444444e-05
Euler,显式 Euler,96,7,1,4.61175365853659e-06
RK2,改进 Euler（RK2）,96,7,2,6.62918275862069e-06
RK4,经典 RK4,96,7,3,1.0604e-05
Euler,显式 Euler,192,1,1,7.03834255319149e-06
RK2,改进 Euler（RK2）,192,1,2,1.10356186813187e-05
RK4,经典 RK4,192,1,3,1.88705884615385e-05
Euler,显式 Euler,192,2,3,7.19548248175182e-06
RK2,改进 Euler（RK2）,192,2,1,1.09279263736264e-05
RK4,经典 RK4,192,2,2,1.93628961538462e-05
Euler,显式 Euler,192,3,2,6.89011560283688e-06
RK2,改进 Euler（RK2）,192,3,3,1.10062222222222e-05
RK4,经典 RK4,192,3,1,1.89648192307692e-05
Euler,显式 Euler,192,4,1,7.03905177304965e-06
RK2,改进 Euler（RK2）,192,4,2,1.14706666666667e-05
RK4,经典 RK4,192,4,3,1.917216e-05
Euler,显式 Euler,192,5,3,7.37081798561151e-06
RK2,改进 Euler（RK2）,192,5,1,1.12268274725275e-05
RK4,经典 RK4,192,5,2,1.909016e-05
Euler,显式 Euler,192,6,2,7.00997375886525e-06
RK2,改进 Euler（RK2）,192,6,3,1.1207925e-05
