x,uNum,uExact
-1,0,0
-0.984375,-0.0116239860234948,-0.011623750318241
-0.96875,-0.0231553293384533,-0.023154854392365
-0.953125,-0.0345911591314444,-0.0345904415365825
-0.9375,-0.0459285636991611,-0.0459276001842178
-0.921875,-0.0571645920880004,-0.0571633795272928
-0.90625,-0.0682962558415507,-0.0682947912639953
-0.890625,-0.0793205308557582,-0.0793188114538034
-0.875,-0.0902343593412714,-0.0902323824797648
-0.859375,-0.101034651892182,-0.10103241511715
-0.84375,-0.111718289660093,-0.111715790707405
-0.828125,-0.122282126632162,-0.122279363436059
-0.8125,-0.13272299201146,-0.13271996271292
-0.796875,-0.143037692697697,-0.143034395652611
-0.78125,-0.153223015866064,-0.153219449653205
-0.765625,-0.163275731641644,-0.163271895070387
-0.75,-0.173192595866522,-0.173188487984315
-0.734375,-0.182970352956455,-0.182965973055991
-0.71875,-0.192605738843642,-0.192601086469725
-0.703125,-0.202095484001836,-0.202090558957905
-0.6875,-0.211436316549761,-0.211431118904056
-0.671875,-0.220624965428506,-0.220619495519853
-0.65625,-0.229658163648279,-0.229652422091459
-0.640625,-0.238532651599638,-0.238526639290335
-0.625,-0.247245180424047,-0.247238898543342
-0.609375,-0.255792515438358,-0.255785965456753
-0.59375,-0.26417143960756,-0.264164623288509
-0.578125,-0.272378757059916,-0.272371676462853
-0.5625,-0.280411296638384,-0.280403954121218
-0.546875,-0.288265915482009,-0.288258313703081
-0.53125,-0.295939502630781,-0.295931644550267
-0.515625,-0.303428982647287,-0.303420871528025
-0.5,-0.310731319248313,-0.310722958656049
-0.484375,-0.31784351893941,-0.317834912742459
-0.46875,-0.324762634645327,-0.324753787013623
-0.453125,-0.331485769329101,-0.331476684732647
-0.4375,-0.338010079592493,-0.338000762799191
-0.421875,-0.344332779250429,-0.344323235323298
-0.40625,-0.35045114287202,-0.350441377165793
-0.390625,-0.356362509280748,-0.356352527437846
-0.375,-0.362064285006372,-0.362054092952267
-0.359375,-0.367553947681151,-0.367543551619107
-0.34375,-0.37282904937301,-0.372818455778223
-0.328125,-0.377887219848345,-0.377876435461477
-0.3125,-0.382726169757252,-0.382715201577371
-0.296875,-0.387343693734058,-0.387332549010999
-0.28125,-0.391737673406188,-0.391726359632345
-0.265625,-0.395906080304537,-0.3958946052061
-0.25,-0.399846978668694,-0.399835350196346
-0.234375,-0.403558528140562,-0.403546754459662
-0.21875,-0.407038986340141,-0.407027075820398
-0.203125,-0.410286711317461,-0.410274672522134
-0.1875,-0.413300163874928,-0.413288005549575
-0.171875,-0.416077909754613,-0.416065640815398
-0.15625,-0.418618621685293,-0.418606251206894
-0.140625,-0.420921081284397,-0.420908618487533
-0.125,-0.422984180810297,-0.422971635048908
-0.109375,-0.424806924760756,-0.42479430550886
-0.09375,-0.426388431313689,-0.42637574815195
-0.078125,-0.427727933606758,-0.427715196208795
-0.0625,-0.428824780852711,-0.428811998971185
-0.046875,-0.429678439287758,-0.429665622740264
-0.03125,-0.430288492950687,-0.430275651605489
-0.015625,-0.430654644290817,-0.430641788052459
0,-0.430776714603317,-0.430763853398148
0.015625,-0.430654644290817,-0.430641788052459
0.03125,-0.430288492950686,-0.430275651605489
0.046875,-0.429678439287757,-0.429665622740264
0.0625,-0.42882478085271,-0.428811998971185
0.078125,-0.427727933606757,-0.427715196208795
0.09375,-0.426388431313688,-0.42637574815195
0.109375,-0.424806924760755,-0.42479430550886
0.125,-0.422984180810296,-0.422971635048908
0.140625,-0.420921081284396,-0.420908618487533
0.15625,-0.418618621685292,-0.418606251206894
0.171875,-0.416077909754612,-0.416065640815398
0.1875,-0.413300163874927,-0.413288005549575
0.203125,-0.41028671131746,-0.410274672522134
0.21875,-0.407038986340141,-0.407027075820398
0.234375,-0.403558528140562,-0.403546754459662
0.25,-0.399846978668693,-0.399835350196346
0.265625,-0.395906080304536,-0.3958946052061
0.28125,-0.391737673406187,-0.391726359632345
0.296875,-0.387343693734057,-0.387332549010999
0.3125,-0.382726169757252,-0.382715201577371
0.328125,-0.377887219848345,-0.377876435461477
0.34375,-0.372829049373009,-0.372818455778223
0.359375,-0.367553947681151,-0.367543551619107
0.375,-0.362064285006372,-0.362054092952267
0.390625,-0.356362509280748,-0.356352527437846
0.40625,-0.35045114287202,-0.350441377165793
0.421875,-0.344332779250429,-0.344323235323298
0.4375,-0.338010079592494,-0.338000762799191
0.453125,-0.331485769329101,-0.331476684732647
0.46875,-0.324762634645328,-0.324753787013623
0.484375,-0.31784351893941,-0.317834912742459
0.5,-0.310731319248314,-0.310722958656049
0.515625,-0.303428982647288,-0.303420871528025
0.53125,-0.295939502630782,-0.295931644550267
0.546875,-0.28826591548201,-0.288258313703081
0.5625,-0.280411296638385,-0.280403954121218
0.578125,-0.272378757059917,-0.272371676462853
0.59375,-0.26417143960756,-0.264164623288509
0.609375,-0.255792515438359,-0.255785965456753
0.625,-0.247245180424048,-0.247238898543342
0.640625,-0.238532651599639,-0.238526639290335
0.65625,-0.22965816364828,-0.229652422091459
0.671875,-0.220624965428507,-0.220619495519853
0.6875,-0.211436316549762,-0.211431118904056
0.703125,-0.202095484001837,-0.202090558957905
0.71875,-0.192605738843643,-0.192601086469725
0.734375,-0.182970352956456,-0.182965973055991
0.75,-0.173192595866522,-0.173188487984315
0.765625,-0.163275731641645,-0.163271895070387
0.78125,-0.153223015866065,-0.153219449653205
0.796875,-0.143037692697697,-0.143034395652611
0.8125,-0.13272299201146,-0.13271996271292
0.828125,-0.122282126632162,-0.122279363436059
0.84375,-0.111718289660093,-0.111715790707405
0.859375,-0.101034651892182,-0.10103241511715
0.875,-0.0902343593412716,-0.0902323824797648
