x,uCoarse,uFineAtCoarse,uRichardson,uExact,coarseAbsError,richardsonAbsError
-1,0,0,0,0,0,0
-0.875,-0.09035914372156,-0.0902640266694131,-0.0902323209853642,-0.0902323824797648,0.00012676124179517,6.14944006410711e-08
-0.75,-0.173451987628525,-0.173254249480508,-0.173188336764502,-0.173188487984315,0.000263499644210768,1.51219812588588e-07
-0.625,-0.24764197489907,-0.247339470177536,-0.247238635270358,-0.247238898543342,0.000403076355727866,2.63272984385443e-07
-0.5,-0.311259558323338,-0.310856818487054,-0.310722571874959,-0.310722958656049,0.000536599667288362,3.86781090322419e-07
-0.375,-0.362708379512115,-0.362217284234023,-0.362053585807993,-0.362054092952267,0.000654286559848172,5.07144273742544e-07
-0.25,-0.400581965446785,-0.400021547753012,-0.399834741855087,-0.399835350196346,0.000746615250438565,6.08341258867551e-07
-0.125,-0.423777222274994,-0.423172524960624,-0.422970959189168,-0.422971635048908,0.000805587226086146,6.75859740451035e-07
0,-0.431589722274994,-0.430969795935117,-0.430763153821824,-0.430763853398148,0.000825868876846214,6.99576323759388e-07
0.125,-0.423777222274994,-0.423172524960624,-0.422970959189167,-0.422971635048908,0.000805587226086146,6.75859740895124e-07
0.25,-0.400581965446785,-0.400021547753011,-0.399834741855087,-0.399835350196346,0.000746615250438565,6.08341259644707e-07
0.375,-0.362708379512115,-0.362217284234023,-0.362053585807992,-0.362054092952267,0.000654286559848172,5.07144274575211e-07
0.5,-0.311259558323338,-0.310856818487053,-0.310722571874959,-0.310722958656049,0.000536599667288307,3.8678109087753e-07
0.625,-0.24764197489907,-0.247339470177535,-0.247238635270357,-0.247238898543342,0.000403076355727866,2.6327298496831e-07
0.75,-0.173451987628525,-0.173254249480508,-0.173188336764502,-0.173188487984315,0.000263499644210741,1.51219813032677e-07
0.875,-0.09035914372156,-0.090264026669413,-0.090232320985364,-0.0902323824797648,0.00012676124179517,6.14944008353602e-08
1,0,0,0,0,0,0
