x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.99609375,-0.00291446775516609,-0.0029144714168463,-0.00291446775516757,1.48188752935319e-15,-3.66167873366158e-09,3.66168021554911e-09
-0.9921875,-0.00582327816129969,-0.00582328549882306,-0.00582327816130257,2.87790624664552e-15,-7.33752049137532e-09,7.33752336928156e-09
-0.98828125,-0.0087263871084857,-0.00872639813590037,-0.00872638710848994,4.23792945181134e-15,-1.10274104240388e-08,1.10274146619682e-08
-0.984375,-0.0116237503182352,-0.0116237650494723,-0.011623750318241,5.84948756099379e-15,-1.47312312608755e-08,1.47312371103631e-08
-0.98046875,-0.0145153233448892,-0.0145153417937607,-0.0145153233448965,7.30839000429029e-15,-1.84488642331754e-08,1.84488715415654e-08
-0.9765625,-0.0174010615770487,-0.0174010837572453,-0.0174010615770575,8.76035355368288e-15,-2.21801878322325e-08,2.21801965925861e-08
-0.97265625,-0.0202809202390312,-0.0202809461641199,-0.0202809202390415,1.03077268942542e-14,-2.59250784138965e-08,2.59250887216234e-08
-0.96875,-0.023154854392353,-0.0231548840757752,-0.023154854392365,1.19522447494802e-14,-2.96834102193888e-08,2.96834221716336e-08
-0.96484375,-0.0260228189372385,-0.0260228523923075,-0.0260228189372522,1.37043154602168e-14,-3.34550553059143e-08,3.34550690102298e-08
-0.9609375,-0.0288847686141552,-0.0288848058540543,-0.0288847686141704,1.52863832703076e-14,-3.72398838190124e-08,3.72398991053957e-08
-0.95703125,-0.0317406580053752,-0.0317406990431554,-0.0317406580053923,1.70488623219001e-14,-4.10377630766234e-08,4.10377801254858e-08
-0.953125,-0.0345904415365638,-0.0345904863851413,-0.0345904415365825,1.87211357527417e-14,-4.48485588111502e-08,4.4848577532286e-08
-0.94921875,-0.0374340734783931,-0.0374341221505477,-0.0374340734784135,2.04766759104302e-14,-4.86721341286245e-08,4.86721546053004e-08
-0.9453125,-0.0402715079481829,-0.0402715604565554,-0.0402715079482052,2.22738494315422e-14,-5.25083501748402e-08,5.25083724486897e-08
-0.94140625,-0.0431026989115683,-0.0431027552686582,-0.0431026989115921,2.38697950294409e-14,-5.6357066041679e-08,5.6357089911474e-08
-0.9375,-0.045927600184192,-0.0459276604023557,-0.0459276001842178,2.58404408981505e-14,-6.02181378650535e-08,6.02181637054944e-08
-0.93359375,-0.048746165433425,-0.0487462295248734,-0.0487461654334527,2.76306755253586e-14,-6.409142069147e-08,6.40914483221455e-08
-0.9296875,-0.0515583481801123,-0.0515584161569084,-0.0515583481801418,2.94764213037979e-14,-6.79767665906494e-08,6.79767960670707e-08
-0.92578125,-0.0543641018003451,-0.0543641736744022,-0.0543641018003767,3.15511505810662e-14,-7.18740255090111e-08,7.18740570601617e-08
-0.921875,-0.0571633795272595,-0.0571634553103387,-0.0571633795272928,3.33205685265625e-14,-7.57830459011122e-08,7.57830792216807e-08
-0.91796875,-0.0599561344528613,-0.0599562141565696,-0.0599561344528967,3.53744811221191e-14,-7.97036729255352e-08,7.97037083000163e-08
-0.9140625,-0.0627423195298775,-0.0627424031656654,-0.0627423195299148,3.73034936274053e-14,-8.36357505612506e-08,8.36357878647442e-08
-0.91015625,-0.0655218875736329,-0.0655219751527922,-0.0655218875736723,3.9343528435154e-14,-8.75791199284048e-08,8.75791592719333e-08
-0.90625,-0.0682947912639539,-0.0682948827976157,-0.0682947912639953,4.13696854550949e-14,-9.15336204054817e-08,9.15336617751672e-08
-0.90234375,-0.0710609831470979,-0.0710610786462303,-0.0710609831471413,4.3381964687228e-14,-9.54990890117413e-08,9.5499132393706e-08
-0.8984375,-0.0738204156377087,-0.0738205151131147,-0.0738204156377542,4.55191440096314e-14,-9.9475360448853e-08,9.9475405967997e-08
-0.89453125,-0.0765730410207982,-0.0765731444831134,-0.0765730410208457,4.75591788173801e-14,-1.03462267711518e-07,1.03462315270697e-07
-0.890625,-0.0793188114537536,-0.0793189189134444,-0.0793188114538034,4.97796248666305e-14,-1.07459641018881e-07,1.07459690798506e-07
-0.88671875,-0.082057678968371,-0.082057790435732,-0.0820576789684229,5.18890486134183e-14,-1.11467309105162e-07,1.11467360994211e-07
-0.8828125,-0.0847895954729141,-0.0847897109580662,-0.084789595472968,5.39707167845904e-14,-1.15485098178825e-07,1.15485152149541e-07
-0.87890625,-0.0875145127541994,-0.0875146322670877,-0.0875145127542556,5.61911628338407e-14,-1.19512832130741e-07,1.19512888321904e-07
-0.875,-0.0902323824797064,-0.090232506030098,-0.0902323824797648,5.84254866708989e-14,-1.23550333144817e-07,1.23550391570304e-07
-0.87109375,-0.0929431561997138,-0.0929432837971956,-0.0929431561997747,6.08540995372664e-14,-1.27597420906955e-07,1.27597481761055e-07
-0.8671875,-0.095646785349461,-0.0956469170034376,-0.0956467853495242,6.32410790402105e-14,-1.31653913354457e-07,1.31653976595536e-07
-0.86328125,-0.0983432212513347,-0.0983433569710265,-0.0983432212514002,6.5447647301653e-14,-1.35719626315201e-07,1.35719691762848e-07
-0.859375,-0.101032415117082,-0.101032554911523,-0.10103241511715,6.77513600777502e-14,-1.39794373035795e-07,1.39794440787155e-07
-0.85546875,-0.103714318050046,-0.103714461928081,-0.103714318050116,7.01244617928864e-14,-1.43877965042005e-07,1.43878035166467e-07
-0.8515625,-0.106388881047431,-0.106389029017715,-0.106388881047504,7.25114412958305e-14,-1.47970211694659e-07,1.479702842061e-07
-0.84765625,-0.109056055002588,-0.109056207073583,-0.109056055002663,7.5092709828084e-14,-1.52070920175773e-07,1.52070995268483e-07
-0.84375,-0.111715790707327,-0.111715946887301,-0.111715790707405,7.75213226944516e-14,-1.56179896043662e-07,1.56179973564985e-07
-0.83984375,-0.114368038854256,-0.114368199151278,-0.114368038854336,7.99360577730113e-14,-1.60296942372518e-07,1.60297022308575e-07
-0.8359375,-0.11701275003914,-0.117012914461082,-0.117012750039222,8.24479373662257e-14,-1.64421860154862e-07,1.64421942602799e-07
-0.83203125,-0.11964987476329,-0.119650043317823,-0.119649874763375,8.50153281106714e-14,-1.68554448523595e-07,1.68554533538923e-07
-0.828125,-0.122279363435972,-0.122279536130564,-0.122279363436059,8.75688410673092e-14,-1.72694504710358e-07,1.72694592279199e-07
-0.82421875,-0.124901166376843,-0.124901343218757,-0.124901166376933,9.0275009689833e-14,-1.76841823545937e-07,1.76841913820946e-07
-0.8203125,-0.127515233818409,-0.1275154148147,-0.127515233818502,9.28424004342787e-14,-1.80996198417827e-07,1.80996291260227e-07
-0.81640625,-0.130121515908509,-0.130121701066025,-0.130121515908605,9.54236689665322e-14,-1.85157420312665e-07,1.85157515736334e-07
-0.8125,-0.132719962712822,-0.132720152038198,-0.13271996271292,9.81992265280951e-14,-1.89325278093788e-07,1.89325376293015e-07
-0.80859375,-0.135310524217395,-0.135310717717055,-0.135310524217496,1.00669472757886e-13,-1.93499559486554e-07,1.93499660156027e-07
-0.8046875,-0.1378931503312,-0.137893348011353,-0.137893150331304,1.03445030319449e-13,-1.97680049107696e-07,1.97680152552726e-07
-0.80078125,-0.140467790888711,-0.140467992755348,-0.140467790888818,1.06248343456627e-13,-2.01866530463723e-07,2.01866636712067e-07
-0.796875,-0.143034395652503,-0.143034601711397,-0.143034395652611,1.08885123140112e-13,-2.06058785201524e-07,2.06058894086647e-07
-0.79296875,-0.145592914315874,-0.145593124572578,-0.145592914315986,1.11660680701675e-13,-2.10256592497737e-07,2.10256704158418e-07
-0.7890625,-0.148143296505498,-0.148143510965343,-0.148143296505613,1.14463993838854e-13,-2.14459729919181e-07,2.14459844383175e-07
-0.78515625,-0.150685491784087,-0.150685710452178,-0.150685491784204,1.1740608485411e-13,-2.18667973145292e-07,2.18668090551377e-07
-0.78125,-0.153219449653085,-0.153219672534301,-0.153219449653205,1.20237153566904e-13,-2.22881096273442e-07,2.22881216510595e-07
-0.77734375,-0.155745119555381,-0.155745346654375,-0.155745119555504,1.23151489006545e-13,-2.27098871125042e-07,2.27098994276531e-07
-0.7734375,-0.158262450878048,-0.158262682199242,-0.158262450878174,1.25954802143724e-13,-2.31321068078216e-07,2.31321194033018e-07
-0.76953125,-0.160771392955096,-0.160771628502681,-0.160771392955225,1.28785870856518e-13,-2.35547455346152e-07,2.35547584132023e-07
-0.765625,-0.163271895070255,-0.163272134848187,-0.163271895070387,1.31838984174237e-13,-2.39777799393437e-07,2.39777931232421e-07
-0.76171875,-0.165763906459774,-0.165764150471774,-0.165763906459909,1.34753319613878e-13,-2.44011865352389e-07,2.44012000105709e-07
-0.7578125,-0.168247376315241,-0.168247624564795,-0.168247376315379,1.37750921780366e-13,-2.48249416079371e-07,2.48249553830293e-07
-0.75390625,-0.170722253786433,-0.170722506276787,-0.170722253786574,1.40693012795623e-13,-2.52490213126233e-07,2.52490353819246e-07
-0.75,-0.173188487984171,-0.173188744718331,-0.173188487984315,1.43718370537727e-13,-2.56734015907645e-07,2.56734159626015e-07
-0.74609375,-0.175646027983211,-0.17564628896394,-0.175646027983358,1.46854750582293e-13,-2.60980582339476e-07,2.60980729194227e-07
-0.7421875,-0.178094822825147,-0.178095088054966,-0.178094822825297,1.49880108324396e-13,-2.65229669005329e-07,2.65229818885437e-07
-0.73828125,-0.180534821521334,-0.180535091002517,-0.180534821521487,1.53044243944578e-13,-2.69481030129581e-07,2.69481183173825e-07
-0.734375,-0.182965973055835,-0.18296624679041,-0.182965973055991,1.56041846111066e-13,-2.7373441893741e-07,2.73734574979256e-07
-0.73046875,-0.185388226388386,-0.185388504378132,-0.185388226388546,1.59372515184941e-13,-2.77989586405791e-07,2.77989745778306e-07
-0.7265625,-0.187801530457377,-0.187801812703822,-0.18780153045754,1.62370117351429e-13,-2.82246282873322e-07,2.82246445243439e-07
-0.72265625,-0.190205834182857,-0.190206120687279,-0.190205834183023,1.65423230669148e-13,-2.86504256125086e-07,2.86504421548317e-07
-0.71875,-0.192601086469557,-0.192601377232978,-0.192601086469725,1.68753899743024e-13,-2.90763252586146e-07,2.90763421340046e-07
-0.71484375,-0.194987236209925,-0.194987531233115,-0.194987236210097,1.71918035363205e-13,-2.95023017821139e-07,2.95023189739174e-07
-0.7109375,-0.197364232287193,-0.197364531570663,-0.197364232287368,1.75248704437081e-13,-2.99283295118746e-07,2.99283470367451e-07
-0.70703125,-0.199732023578446,-0.199732327122451,-0.199732023578625,1.78357328906031e-13,-3.03543826879471e-07,3.035440052368e-07
-0.703125,-0.202090558957723,-0.202090866762258,-0.202090558957905,1.81549220101829e-13,-3.0780435353317e-07,3.0780453508239e-07
-0.69921875,-0.204439787299124,-0.204440099363923,-0.204439787299309,1.84852133600089e-13,-3.12064614177432e-07,3.12064799029566e-07
-0.6953125,-0.206779657479942,-0.206779973804477,-0.20677965748013,1.88127291522733e-13,-3.16324346799624e-07,3.16324534926915e-07
-0.69140625,-0.20911011838381,-0.209110438967289,-0.209110118384001,1.91568982899071e-13,-3.20583287694021e-07,3.20583479263004e-07
-0.6875,-0.211431118903861,-0.211431443745228,-0.211431118904056,1.94871896397331e-13,-3.24841172127943e-07,3.2484136699984e-07
-0.68359375,-0.213742607945912,-0.213742937043844,-0.21374260794611,1.98285832198053e-13,-3.2909773362011e-07,3.29097931905942e-07
-0.6796875,-0.216044534431654,-0.21604486778456,-0.216044534431856,2.01560990120697e-13,-3.33352704773304e-07,3.33352906334294e-07
-0.67578125,-0.218336847301867,-0.218337184907888,-0.218336847302072,2.04947170345804e-13,-3.37605816441711e-07,3.37606021388881e-07
-0.671875,-0.220619495519644,-0.220619837376651,-0.220619495519853,2.08250083844064e-13,-3.41856798757867e-07,3.41857007007951e-07
-0.66796875,-0.222892428073637,-0.222892774179229,-0.222892428073849,2.11608508493555e-13,-3.46105380161221e-07,3.4610559176973e-07
-0.6640625,-0.225155593981308,-0.225155944332811,-0.225155593981523,2.1513346659674e-13,-3.50351287869977e-07,3.50351503003443e-07
-0.66015625,-0.227408942292203,-0.22740929688667,-0.227408942292421,2.18547402397462e-13,-3.54594248491713e-07,3.54594467039115e-07
-0.65625,-0.229652422091237,-0.229652780925446,-0.229652422091459,2.22016849349416e-13,-3.58833986913165e-07,3.58834208930014e-07
-0.65234375,-0.231885982501994,-0.231886345572446,-0.231885982502219,2.25541807452601e-13,-3.63070227077378e-07,3.63070452619185e-07
-0.6484375,-0.234109572690036,-0.234109939992957,-0.234109572690265,2.28900232102092e-13,-3.67302692066973e-07,3.67302920967205e-07
-0.64453125,-0.236323141866233,-0.236323513397569,-0.236323141866466,2.32480701356508e-13,-3.71531103326994e-07,3.71531335807695e-07
-0.640625,-0.238526639290099,-0.238527015045517,-0.238526639290335,2.35866881581615e-13,-3.75755181913906e-07,3.75755417780788e-07
-0.63671875,-0.240720014273144,-0.240720394248031,-0.240720014273384,2.39475106411646e-13,-3.79974647218839e-07,3.79974886693946e-07
-0.6328125,-0.242903216182236,-0.242903600371698,-0.242903216182479,2.43000064514831e-13,-3.84189218244346e-07,3.84189461244411e-07
-0.62890625,-0.245076194442978,-0.245076582841837,-0.245076194443225,2.46525022618016e-13,-3.88398612716223e-07,3.88398859241246e-07
-0.625,-0.247238898543092,-0.24723929114589,-0.247238898543342,2.4999446956997e-13,-3.92602547555354e-07,3.92602797549824e-07
-0.62109375,-0.249391278035819,-0.249391674836811,-0.249391278036073,2.53630449975617e-13,-3.96800738516889e-07,3.96800992147339e-07
-0.6171875,-0.251533282543324,-0.251533683536483,-0.251533282543582,2.57238674805649e-13,-4.00992900995156e-07,4.00993158233831e-07
-0.61328125,-0.25366486176012,-0.25366526693913,-0.25366486176038,2.60791388484449e-13,-4.05178749163237e-07,4.05179009954626e-07
-0.609375,-0.255785965456488,-0.255786374814749,-0.255785965456753,2.6434410216325e-13,-4.09357996555837e-07,4.09358260899939e-07
